Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2016,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.872,0.0,0.872,4,2,1,1,1
2016,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2016,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2015,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.86,0.0,0.86,4,2,1,1,1
2015,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2015,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2015,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2014,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.847,0.0,0.847,4,2,1,1,1
2014,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,1,1
2014,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2013,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.901,0.0,0.901,4,3,1,2,1
2013,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,1,1
2013,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2012,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.905,0.0,0.905,4,3,1,2,1
2012,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,1,1
2012,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2012,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2011,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.949,0.0,0.949,4,3,1,2,1
2011,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.004,0.0,0.004,4,3,1,1,1
2011,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2011,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,3,1,3,1
2010,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.09,0.0,1.09,4,3,1,1,1
2010,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,1,1
2010,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2010,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,3,1,4,1
