Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2016,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.466,0.043,0.51,4,2,1,4,1
2016,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.025,0.0,0.026,3,2,1,1,1
2016,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2015,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.424,0.041,0.465,4,2,1,4,1
2015,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.023,0.0,0.023,3,2,1,1,1
2015,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2015,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,4,1
2014,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.395,0.042,0.437,4,2,1,4,1
2014,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.02,0.0,0.02,4,2,1,1,1
2014,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2014,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,4,1
2013,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.406,0.048,0.454,4,3,1,4,1
2013,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.019,0.001,0.02,3,3,1,1,1
2013,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2013,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,3,3,1,4,1
2012,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.437,0.047,0.484,4,3,1,4,1
2012,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.022,0.001,0.022,4,3,1,1,1
2012,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2012,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,4,1
2011,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.434,0.052,0.486,4,3,1,4,1
2011,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.023,0.001,0.024,3,3,1,1,1
2011,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2011,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,3,1,3,1
2010,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.525,0.057,0.582,4,3,1,4,1
2010,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.029,0.001,0.03,4,3,1,1,1
2010,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,4,1
2010,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,3,1,3,1
