Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2016,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.642,0.0,0.642,4,2,1,2,1
2016,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,2,1
2016,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.06,0.0,0.06,4,2,1,5,1
2015,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.453,0.0,0.453,4,2,1,3,1
2015,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2015,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2015,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.053,0.0,0.053,4,2,1,5,1
2014,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.499,0.0,0.499,4,2,1,3,1
2014,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2014,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.047,0.0,0.047,4,2,1,5,1
2013,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.746,0.0,0.746,4,3,1,2,1
2013,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,1,1
2013,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.045,0.0,0.045,4,3,1,5,1
2012,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.765,0.0,0.765,4,3,1,2,1
2012,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,1,1
2012,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2012,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.037,0.0,0.037,4,3,1,5,1
2011,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.866,0.0,0.866,4,3,1,2,1
2011,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,1,1
2011,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2011,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.034,0.0,0.034,4,3,1,5,1
2010,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.849,0.0,0.849,4,3,1,2,1
2010,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,2,1
2010,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2010,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.027,0.0,0.027,4,3,1,5,1
