Year,Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2016,1111A0,"Fresh soybeans, canola, flaxseeds, and other oilseeds",carbon dioxide,"kg/2018 USD, purchaser price",0.323,0.066,0.389,3,2,1,4,1
2016,1111A0,"Fresh soybeans, canola, flaxseeds, and other oilseeds",methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,4,2,1,1,1
2016,1111A0,"Fresh soybeans, canola, flaxseeds, and other oilseeds",nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,1111A0,"Fresh soybeans, canola, flaxseeds, and other oilseeds",other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,1111B0,"Fresh wheat, corn, rice, and other grains",carbon dioxide,"kg/2018 USD, purchaser price",0.658,0.073,0.731,4,2,1,4,1
2016,1111B0,"Fresh wheat, corn, rice, and other grains",methane,"kg/2018 USD, purchaser price",0.006,0.001,0.007,3,2,1,1,1
2016,1111B0,"Fresh wheat, corn, rice, and other grains",nitrous oxide,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,1111B0,"Fresh wheat, corn, rice, and other grains",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,111200,"Fresh vegetables, melons, and potatoes",carbon dioxide,"kg/2018 USD, purchaser price",0.176,0.114,0.29,3,2,1,4,1
2016,111200,"Fresh vegetables, melons, and potatoes",methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,4,2,1,1,1
2016,111200,"Fresh vegetables, melons, and potatoes",nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,111200,"Fresh vegetables, melons, and potatoes",other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,111300,Fresh fruits and tree nuts,carbon dioxide,"kg/2018 USD, purchaser price",0.18,0.106,0.285,4,2,1,4,1
2016,111300,Fresh fruits and tree nuts,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,4,2,1,1,1
2016,111300,Fresh fruits and tree nuts,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,111300,Fresh fruits and tree nuts,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,4,1
2016,111400,"Greenhouse crops, mushrooms, nurseries, and flowers",carbon dioxide,"kg/2018 USD, purchaser price",0.266,0.083,0.349,4,2,1,4,1
2016,111400,"Greenhouse crops, mushrooms, nurseries, and flowers",methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,4,2,1,1,1
2016,111400,"Greenhouse crops, mushrooms, nurseries, and flowers",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,111400,"Greenhouse crops, mushrooms, nurseries, and flowers",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,111900,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",carbon dioxide,"kg/2018 USD, purchaser price",0.278,0.066,0.345,3,2,1,4,1
2016,111900,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,4,2,1,1,1
2016,111900,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,111900,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,112120,Dairies,carbon dioxide,"kg/2018 USD, purchaser price",0.439,0.051,0.491,3,2,1,4,1
2016,112120,Dairies,methane,"kg/2018 USD, purchaser price",0.067,0.001,0.067,3,2,1,1,1
2016,112120,Dairies,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,3,1
2016,112120,Dairies,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,1121A0,Cattle ranches and feedlots,carbon dioxide,"kg/2018 USD, purchaser price",0.528,0.051,0.579,4,2,1,4,1
2016,1121A0,Cattle ranches and feedlots,methane,"kg/2018 USD, purchaser price",0.078,0.001,0.079,4,2,1,1,1
2016,1121A0,Cattle ranches and feedlots,nitrous oxide,"kg/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,1121A0,Cattle ranches and feedlots,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,112300,Poultry farms,carbon dioxide,"kg/2018 USD, purchaser price",0.642,0.057,0.699,4,2,1,4,1
2016,112300,Poultry farms,methane,"kg/2018 USD, purchaser price",0.007,0.001,0.008,3,2,1,1,1
2016,112300,Poultry farms,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,3,1
2016,112300,Poultry farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,112A00,Animal farms and aquaculture ponds (except cattle and poultry),carbon dioxide,"kg/2018 USD, purchaser price",0.183,0.064,0.247,4,2,1,4,1
2016,112A00,Animal farms and aquaculture ponds (except cattle and poultry),methane,"kg/2018 USD, purchaser price",0.034,0.001,0.035,2,2,1,1,1
2016,112A00,Animal farms and aquaculture ponds (except cattle and poultry),nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,112A00,Animal farms and aquaculture ponds (except cattle and poultry),other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,113000,Timber and raw forest products,carbon dioxide,"kg/2018 USD, purchaser price",0.181,0.067,0.249,4,2,1,4,1
2016,113000,Timber and raw forest products,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,3,2,1,1,1
2016,113000,Timber and raw forest products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,113000,Timber and raw forest products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,114000,Wild-caught fish and game,carbon dioxide,"kg/2018 USD, purchaser price",0.226,0.098,0.324,4,2,1,4,1
2016,114000,Wild-caught fish and game,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,4,2,1,1,1
2016,114000,Wild-caught fish and game,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,114000,Wild-caught fish and game,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,4,1
2016,115000,Agriculture and forestry support,carbon dioxide,"kg/2018 USD, purchaser price",0.317,0.0,0.317,3,2,1,3,1
2016,115000,Agriculture and forestry support,methane,"kg/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,1,1
2016,115000,Agriculture and forestry support,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,115000,Agriculture and forestry support,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,211000,Unrefined oil and gas,carbon dioxide,"kg/2018 USD, purchaser price",0.317,0.075,0.391,4,2,1,3,1
2016,211000,Unrefined oil and gas,methane,"kg/2018 USD, purchaser price",0.015,0.001,0.016,4,2,1,1,1
2016,211000,Unrefined oil and gas,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,2,1
2016,211000,Unrefined oil and gas,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,3,1
2016,212100,Coal,carbon dioxide,"kg/2018 USD, purchaser price",0.308,0.178,0.485,3,2,1,4,1
2016,212100,Coal,methane,"kg/2018 USD, purchaser price",0.048,0.002,0.05,4,2,1,1,1
2016,212100,Coal,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,212100,Coal,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,3,2,1,4,1
2016,212230,"Copper, nickel, lead, and zinc",carbon dioxide,"kg/2018 USD, purchaser price",1.209,0.071,1.28,4,2,1,4,1
2016,212230,"Copper, nickel, lead, and zinc",methane,"kg/2018 USD, purchaser price",0.002,0.001,0.003,4,2,1,1,1
2016,212230,"Copper, nickel, lead, and zinc",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,212230,"Copper, nickel, lead, and zinc",other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,3,1
2016,2122A0,"Iron, gold, silver, and other metal ores",carbon dioxide,"kg/2018 USD, purchaser price",1.081,0.065,1.146,4,2,1,3,1
2016,2122A0,"Iron, gold, silver, and other metal ores",methane,"kg/2018 USD, purchaser price",0.002,0.001,0.003,4,2,1,1,1
2016,2122A0,"Iron, gold, silver, and other metal ores",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,2122A0,"Iron, gold, silver, and other metal ores",other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,3,2,1,2,1
2016,212310,Dimensional stone,carbon dioxide,"kg/2018 USD, purchaser price",0.343,0.116,0.459,3,2,1,4,1
