Year,Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2016,111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.467,0.046,0.513,4,2,1,4,1
2016,111CA,Farms,methane,"kg/2018 USD, purchaser price",0.025,0.0,0.026,3,2,1,1,1
2016,111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,113FF,"Forestry, fishing, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.199,0.024,0.223,4,2,1,4,1
2016,113FF,"Forestry, fishing, and related activities",methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,3,2,1,1,1
2016,113FF,"Forestry, fishing, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,113FF,"Forestry, fishing, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,211,Oil and gas extraction,carbon dioxide,"kg/2018 USD, purchaser price",0.508,0.062,0.569,4,2,1,3,1
2016,211,Oil and gas extraction,methane,"kg/2018 USD, purchaser price",0.028,0.001,0.028,4,2,1,1,1
2016,211,Oil and gas extraction,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,211,Oil and gas extraction,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,212,"Mining, except oil and gas",carbon dioxide,"kg/2018 USD, purchaser price",0.639,0.11,0.749,4,2,1,4,1
2016,212,"Mining, except oil and gas",methane,"kg/2018 USD, purchaser price",0.022,0.001,0.023,4,2,1,1,1
2016,212,"Mining, except oil and gas",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,212,"Mining, except oil and gas",other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,213,Support activities for mining,carbon dioxide,"kg/2018 USD, purchaser price",0.445,0.0,0.445,4,2,1,4,1
2016,213,Support activities for mining,methane,"kg/2018 USD, purchaser price",0.013,0.0,0.013,4,2,1,1,1
2016,213,Support activities for mining,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,213,Support activities for mining,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,22,Utilities,carbon dioxide,"kg/2018 USD, purchaser price",2.884,0.0,2.884,2,2,1,2,1
2016,22,Utilities,methane,"kg/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,1,1
2016,22,Utilities,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,22,Utilities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0.0,0.01,2,2,1,2,1
2016,23,Construction,carbon dioxide,"kg/2018 USD, purchaser price",0.259,0.0,0.259,3,2,1,4,1
2016,23,Construction,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2016,23,Construction,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,23,Construction,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0.0,0.02,4,2,1,5,1
2016,311FT,Food and beverage and tobacco products,carbon dioxide,"kg/2018 USD, purchaser price",0.317,0.019,0.336,3,2,1,4,1
2016,311FT,Food and beverage and tobacco products,methane,"kg/2018 USD, purchaser price",0.008,0.0,0.008,3,2,1,1,1
2016,311FT,Food and beverage and tobacco products,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311FT,Food and beverage and tobacco products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0.0,0.007,4,2,1,4,1
2016,313TT,Textile mills and textile product mills,carbon dioxide,"kg/2018 USD, purchaser price",0.272,0.05,0.322,3,2,1,4,1
2016,313TT,Textile mills and textile product mills,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,1,1
2016,313TT,Textile mills and textile product mills,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,313TT,Textile mills and textile product mills,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,3,1
2016,315AL,Apparel and leather and allied products,carbon dioxide,"kg/2018 USD, purchaser price",0.078,0.305,0.383,3,2,1,3,1
2016,315AL,Apparel and leather and allied products,methane,"kg/2018 USD, purchaser price",0.001,0.002,0.002,3,2,1,1,1
